% Model,WG_straight_副本.mph,,
% Version,COMSOL 6.2.0.339,,
% Date,"Sep 14 2025, 10:04",,
% Table,,,
% wg_width (um),sample_freq (1/s),neff (m^2),
0.8,1.70E+14,1.4370004378121468-1.473263922319471E-4i,1.28E-10
0.8,1.70E+14,1.437457583104981-1.367543124559559E-4i,1.34E-10
0.8,1.70E+14,1.438361402646814-1.1292648372621915E-4i,1.34E-10
0.8,1.70E+14,1.4396261159032464-6.28062522859237E-5i,1.58E-10
0.8,1.70E+14,1.4394855995212312-5.731099348108332E-5i,1.34E-10
0.8,1.70E+14,1.458697737422051-8.299488645134343E-10i,1.99E-12
0.8,1.71E+14,1.4371997021536436-1.4388911422981218E-4i,1.28E-10
0.8,1.71E+14,1.4376379506662758-1.343377050902647E-4i,1.34E-10
0.8,1.71E+14,1.4385311374647731-1.1093252958002451E-4i,1.34E-10
0.8,1.71E+14,1.4397902232102875-6.135345990689262E-5i,1.58E-10
0.8,1.71E+14,1.4396421529338332-5.6298213374304996E-5i,1.34E-10
0.8,1.71E+14,1.459532420323051-5.728700382032083E-10i,1.91E-12
0.8,1.72E+14,1.437395142447397-1.4057750846918035E-4i,1.29E-10
0.8,1.72E+14,1.4378153447549187-1.319775095755063E-4i,1.34E-10
0.8,1.72E+14,1.438698081755603-1.0898551480287832E-4i,1.34E-10
0.8,1.72E+14,1.4399512713571612-5.994860612186507E-5i,1.59E-10
0.8,1.72E+14,1.4397961477608376-5.530914253077148E-5i,1.34E-10
0.8,1.72E+14,1.4603794482673673-3.934224806710449E-10i,1.84E-12
0.8,1.73E+14,1.4375868513140282-1.3736180292644185E-4i,1.29E-10
0.8,1.73E+14,1.4379898382635092-1.2967067113838217E-4i,1.34E-10
0.8,1.73E+14,1.4388623045295157-1.0708384036175047E-4i,1.34E-10
0.8,1.73E+14,1.4401093531245635-5.8589746004577446E-5i,1.59E-10
0.8,1.73E+14,1.4399476477402593-5.434309126134076E-5i,1.34E-10
0.8,1.73E+14,1.4612387427824505-2.6884264041665904E-10i,1.77E-12
0.8,1.74E+14,1.4377749347521451-1.3426724800577895E-4i,1.30E-10
0.8,1.74E+14,1.4381614989864677-1.2741835445496E-4i,1.34E-10
0.8,1.74E+14,1.4390238730393878-1.0522621794460725E-4i,1.34E-10
0.8,1.74E+14,1.4402645576799449-5.727500804426226E-5i,1.59E-10
0.8,1.74E+14,1.4400967146689698-5.339939093667081E-5i,1.34E-10
0.8,1.74E+14,1.4621102159172543-1.8281432371958378E-10i,1.70E-12
0.8,1.75E+14,1.4379595257098865-1.312538198593536E-4i,1.30E-10
0.8,1.75E+14,1.4383303944336625-1.252184438275723E-4i,1.34E-10
0.8,1.75E+14,1.4391828523753738-1.034115793441756E-4i,1.34E-10
0.8,1.75E+14,1.4404169707375758-5.6002598810205153E-5i,1.60E-10
0.8,1.75E+14,1.440243408477131-5.247739552965868E-5i,1.34E-10
0.8,1.75E+14,1.4629937707062006-1.2371782845060168E-10i,1.64E-12
0.8,1.76E+14,1.4381407211216037-1.2836220142523812E-4i,1.31E-10
0.8,1.76E+14,1.4384965917753612-1.2306631577544517E-4i,1.34E-10
0.8,1.76E+14,1.4393393052085721-1.0163834634109905E-4i,1.34E-10
0.8,1.76E+14,1.4405666747055752-5.4770798582920074E-5i,1.60E-10
0.8,1.76E+14,1.4403877872978914-5.1576482968005414E-5i,1.34E-10
0.8,1.76E+14,1.4638893016249248-8.333001996536362E-11i,1.58E-12
0.8,1.77E+14,1.438318643659332-1.2553403829609607E-4i,1.31E-10
0.8,1.77E+14,1.4386601467201234-1.2097930153040594E-4i,1.34E-10
0.8,1.77E+14,1.4394932929451418-9.990550720227897E-5i,1.34E-10
0.8,1.77E+14,1.4407137488338788-5.3577957968327926E-5i,1.60E-10
0.8,1.77E+14,1.4405299075287776-5.069605012891698E-5i,1.34E-10
0.8,1.77E+14,1.464796695037685-5.586679827198201E-11i,1.52E-12
0.8,1.78E+14,1.4384933274384806-1.228298688072434E-4i,1.32E-10
0.8,1.78E+14,1.438821142720073-1.1892521182318898E-4i,1.34E-10
0.8,1.78E+14,1.4396448754013027-9.821196720186776E-5i,1.34E-10
0.8,1.78E+14,1.440858269350287-5.242250800512816E-5i,1.60E-10
0.8,1.78E+14,1.4406698238953852-4.983551642810801E-5i,1.34E-10
0.8,1.78E+14,1.4657158296362938-3.728422027640048E-11i,1.47E-12
0.8,1.79E+14,1.438664921799756-1.2020825936346664E-4i,1.32E-10
0.8,1.79E+14,1.4389796284982903-1.1691260012734674E-4i,1.34E-10
0.8,1.79E+14,1.4397941098211062-9.655640855747725E-5i,1.34E-10
0.8,1.79E+14,1.4410003096025708-5.1302941178992006E-5i,1.61E-10
0.8,1.79E+14,1.4408075895120431-4.899431978485586E-5i,1.34E-10
0.8,1.79E+14,1.4666465768703199-2.4771360964550076E-11i,1.42E-12
0.8,1.80E+14,1.438833477881624-1.1765512614141186E-4i,1.32E-10
0.8,1.80E+14,1.4391356575203702-1.1496069046495967E-4i,1.34E-10
0.8,1.80E+14,1.4399410522783402-9.493821261830957E-5i,1.34E-10
0.8,1.80E+14,1.441139940183132-5.021781853740694E-5i,1.61E-10
0.8,1.80E+14,1.4409432559384898-4.817191930265217E-5i,1.34E-10
0.8,1.80E+14,1.4675888013683391-1.638565127005268E-11i,1.37E-12
0.8,1.81E+14,1.4389991352643077-1.1523839716850504E-4i,1.33E-10
0.8,1.81E+14,1.4392893156103355-1.1305915053316516E-4i,1.34E-10
0.8,1.81E+14,1.4400857569400034-9.335563621169771E-5i,1.34E-10
0.8,1.81E+14,1.441277229055319-4.9165767379836874E-5i,1.61E-10
0.8,1.81E+14,1.4410768732344696-4.736778895312024E-5i,1.34E-10
0.8,1.81E+14,1.4685423613500055-1.0792039924329266E-11i,1.32E-12
0.8,1.82E+14,1.4391619484073264-1.1286906332867887E-4i,1.33E-10
